assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe,match_id,weapon_category,damage_efficiency,kill_effectiveness,time_period
False,CULIACAN,7.656119816602006e+16,juna,7.656119836635843e+16,False,False,21.057503,5,24,0,False,chest,False,False,0,0,False,41458,spamzzy,76561198003724030,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8275862068965517,0.10506720946609414,Early-Mid
False,No Assist,0.0,tender272,7.656119799372472e+16,False,False,23.775822,17,82,0,True,head,False,False,0,0,False,41561,a_m_c,76561198804371130,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8282828282828283,0.6360723860544365,Early-Mid
False,No Assist,0.0,tender272,7.656119799372472e+16,False,False,13.46,18,87,0,True,head,False,False,0,0,False,41567,Majesticzz,76561198144801954,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8285714285714286,0.6618312586445366,Early-Mid
False,Majesticzz,7.656119814480195e+16,4TAYLOR,7.656119885271027e+16,False,False,13.620761,3,27,0,False,chest,False,False,0,0,False,41610,tender272,76561197993724724,ak47,17293822569110110215,45861538138.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.9,0.12167917853249911,Early-Mid
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,17.677988,18,85,0,True,head,False,False,0,0,False,41752,4TAYLOR,76561198852710277,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8252427184466019,0.6507077914387781,Early-Mid
False,No Assist,0.0,sathsea,7.656119840164778e+16,False,False,19.24071,0,113,0,False,chest,False,False,0,0,False,46134,CULIACAN,76561198166020071,awp,17293822569140977673,44935018707.0,,0,aether-vs-full-send-m1-mirage,AWP,1.0,0.4618810763061177,Early-Mid
False,No Assist,0.0,micro,7.656119807204077e+16,False,False,17.984602,0,12,0,False,chest,False,False,0,0,False,46147,spamzzy,76561198003724030,xm1014,17293822569135800345,4949931951.0,,0,aether-vs-full-send-m1-mirage,Shotgun,1.0,0.058534853456501224,Early-Mid
False,No Assist,0.0,sathsea,7.656119840164778e+16,False,False,10.936292,1,112,0,False,right_arm,False,False,0,0,False,46273,a_m_c,76561198804371130,awp,17293822569140977673,44935018707.0,,0,aether-vs-full-send-m1-mirage,AWP,0.9911504424778761,0.46475562226527306,Early-Mid
False,No Assist,0.0,sathsea,7.656119840164778e+16,False,False,1.7219656,0,138,0,True,head,False,False,0,0,False,46367,Majesticzz,76561198144801954,usp_silencer,17293822569123217469,46208270198.0,,0,aether-vs-full-send-m1-mirage,Pistol,1.0,0.9254763143222676,Early-Mid
True,juna,7.656119836635843e+16,sathsea,7.656119840164778e+16,False,False,10.072504,1,111,0,False,chest,False,False,0,0,False,46557,4TAYLOR,76561198852710277,awp,17293822569140977673,44935018707.0,,0,aether-vs-full-send-m1-mirage,AWP,0.9910714285714286,0.4620627615939448,Early-Mid
False,No Assist,0.0,CULIACAN,7.656119816602006e+16,False,False,24.205252,3,22,0,False,chest,False,False,0,0,False,52960,micro,76561198072040762,galilar,17293822569102704653,0.0,,0,aether-vs-full-send-m1-mirage,Budget Rifle,0.88,0.09593485421213008,Early-Mid
False,No Assist,0.0,sathsea,7.656119840164778e+16,False,False,40.040874,1,109,0,False,chest,False,False,0,0,False,52977,spamzzy,76561198003724030,awp,17293822569140977673,44935018707.0,,0,aether-vs-full-send-m1-mirage,AWP,0.990909090909091,0.4408731905660684,Early-Mid
False,No Assist,0.0,4TAYLOR,7.656119885271027e+16,False,False,18.447811,15,109,0,True,head,False,False,0,0,False,53616,tender272,76561197993724724,ak47,17293822569110110215,45861538138.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8790322580645161,0.7462839337548066,Early-Mid
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,21.181591,5,24,0,False,chest,False,False,0,0,False,53945,CULIACAN,76561198166020071,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8275862068965517,0.10501648578769665,Early-Mid
False,CULIACAN,7.656119816602006e+16,4TAYLOR,7.656119885271027e+16,False,False,10.926246,6,45,0,True,head,False,False,1,0,False,54023,juna,76561198366358433,ak47,17293822569110110215,45861538138.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8823529411764706,0.4967697362606808,Early-Mid
False,sathsea,7.656119840164778e+16,wasteyute,7.656119937319629e+16,False,False,18.801321,18,84,0,True,head,False,False,0,0,False,54579,Majesticzz,76561198144801954,m4a1_silencer,17293822569190391868,45988055989.0,,0,aether-vs-full-send-m1-mirage,M4,0.8235294117647058,0.6461003362351431,Early-Mid
False,No Assist,0.0,4TAYLOR,7.656119885271027e+16,False,False,12.303129,3,27,0,False,chest,False,False,0,0,False,54805,wasteyute,76561199373196281,ak47,17293822569110110215,45861538138.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.9,0.1230340570252307,Early-Mid
False,No Assist,0.0,a_m_c,7.656119880437114e+16,False,False,5.320495,7,13,0,False,chest,False,False,0,0,False,54869,sathsea,76561198401647782,glock,17293822569155657732,15359486587.0,,0,aether-vs-full-send-m1-mirage,Pistol,0.65,0.08364309124522684,Early-Mid
False,No Assist,0.0,micro,7.656119807204077e+16,False,False,43.14895,17,84,0,True,head,False,False,0,0,False,57534,4TAYLOR,76561198852710277,m4a1,17293822569170927632,42934169073.0,,0,aether-vs-full-send-m1-mirage,M4,0.8316831683168316,0.6405301190628543,Early-Mid
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,7.6962,19,89,0,True,head,False,False,0,0,False,58336,CULIACAN,76561198166020071,m4a1_silencer,17293822569164701756,42956831493.0,,0,aether-vs-full-send-m1-mirage,M4,0.8240740740740741,0.6789985510912813,Early-Mid
False,No Assist,0.0,sathsea,7.656119840164778e+16,False,False,26.815495,5,439,0,True,head,False,False,0,0,False,58759,spamzzy,76561198003724030,awp,17293822569140977673,44935018707.0,,0,aether-vs-full-send-m1-mirage,AWP,0.9887387387387387,2.0631902369524613,Early-Mid
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,31.1896,6,28,0,False,stomach,False,False,0,0,False,58891,Majesticzz,76561198144801954,m4a1_silencer,17293822569164701756,42956831493.0,,0,aether-vs-full-send-m1-mirage,M4,0.8235294117647058,0.11821318686780825,Early-Mid
False,No Assist,0.0,tender272,7.656119799372472e+16,False,False,13.35197,18,87,0,True,head,False,False,0,0,False,58896,a_m_c,76561198804371130,m4a1_silencer,17293822569102704700,0.0,,0,aether-vs-full-send-m1-mirage,M4,0.8285714285714286,0.6619353691514127,Early-Mid
False,juna,7.656119836635843e+16,micro,7.656119807204077e+16,False,False,9.428704,0,142,0,True,head,False,False,0,0,False,62621,a_m_c,76561198804371130,ak47,17293822569110110215,45861538138.0,,0,aether-vs-full-send-m1-mirage,AK-47,1.0,0.887177838396794,Early-Mid
False,No Assist,0.0,micro,7.656119807204077e+16,False,False,9.63181,4,34,0,False,stomach,False,False,0,0,False,62710,4TAYLOR,76561198852710277,ak47,17293822569110110215,45861538138.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8947368421052632,0.15481147236453624,Early-Mid
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,10.818975,5,25,0,False,chest,False,False,0,0,False,63301,CULIACAN,76561198166020071,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8333333333333334,0.11692194120048482,Early-Mid
False,juna,7.656119836635843e+16,micro,7.656119807204077e+16,False,False,11.927821,3,28,0,False,right_arm,False,False,0,0,False,63510,Majesticzz,76561198144801954,ak47,17293822569110110215,45861538138.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.9032258064516129,0.12747051123309955,Early-Mid
False,No Assist,0.0,tender272,7.656119799372472e+16,False,False,24.643896,0,117,0,True,head,False,False,0,0,False,63621,spamzzy,76561198003724030,m4a1_silencer,17293822569102704700,0.0,,0,aether-vs-full-send-m1-mirage,M4,1.0,0.7757991269345345,Early-Mid
False,No Assist,0.0,tender272,7.656119799372472e+16,False,False,7.9361544,6,32,0,False,stomach,False,False,0,0,False,66838,4TAYLOR,76561198852710277,m4a1_silencer,17293822569102704700,0.0,,0,aether-vs-full-send-m1-mirage,M4,0.8421052631578947,0.15038099198465057,Early-Mid
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,18.567669,18,85,0,True,head,False,False,0,0,False,67540,a_m_c,76561198804371130,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8252427184466019,0.6502209414928268,Early-Mid
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,17.922533,5,24,0,False,chest,False,False,0,0,False,67967,CULIACAN,76561198166020071,m4a1_silencer,17293822569102704700,46214634260.0,,0,aether-vs-full-send-m1-mirage,M4,0.8275862068965517,0.10656940949713234,Early-Mid
False,CULIACAN,7.656119816602006e+16,spamzzy,7.656119800372403e+16,False,False,8.7825575,13,91,0,True,head,False,False,0,0,False,68020,juna,76561198366358433,galilar,17293822569122168845,42935343253.0,,0,aether-vs-full-send-m1-mirage,Budget Rifle,0.875,0.684444551437597,Early-Mid
False,No Assist,0.0,tender272,7.656119799372472e+16,False,False,25.168901,17,82,0,True,head,False,False,0,0,True,68152,spamzzy,76561198003724030,m4a1_silencer,17293822569102704700,0.0,,0,aether-vs-full-send-m1-mirage,M4,0.8282828282828283,0.7356426595064118,Early-Mid
False,spamzzy,7.656119800372403e+16,Majesticzz,7.656119814480195e+16,False,False,9.522385,13,92,0,True,head,False,False,0,0,True,68172,tender272,76561197993724724,galilar,17293822569177874445,45399979912.0,,0,aether-vs-full-send-m1-mirage,Budget Rifle,0.8761904761904762,0.7870070977254682,Early-Mid
False,No Assist,0.0,micro,7.656119807204077e+16,False,False,21.244795,15,108,0,True,head,False,False,0,0,False,68446,Majesticzz,76561198144801954,ak47,17293822569110110215,45861538138.0,,0,aether-vs-full-send-m1-mirage,AK-47,0.8780487804878049,0.7409908673017666,Early-Mid
False,No Assist,0.0,wasteyute,7.656119937319629e+16,False,False,7.2938647,0,110,0,True,head,False,False,0,0,False,72193,4TAYLOR,76561198852710277,glock,17293822569102704644,0.0,,0,aether-vs-full-send-m1-mirage,Pistol,1.0,0.7641142105923189,Early-Mid
False,No Assist,0.0,spamzzy,7.656119800372403e+16,False,False,22.739431,0,118,0,True,head,False,False,0,0,True,72212,tender272,76561197993724724,usp_silencer,17293822569177546813,44100443556.0,,0,aether-vs-full-send-m1-mirage,Pistol,1.0,0.880424801757043,Early-Mid
False,No Assist,0.0,juna,7.656119836635843e+16,False,False,29.15693,0,82,0,True,head,False,False,0,0,False,72244,spamzzy,76561198003724030,glock,17293822569105850372,45153816217.0,,0,aether-vs-full-send-m1-mirage,Pistol,1.0,0.6346319748064541,Early-Mid
False,No Assist,0.0,a_m_c,7.656119880437114e+16,False,False,2.9504046,0,137,0,True,head,False,False,0,0,False,72263,micro,76561198072040762,usp_silencer,17293822569121710141,16070987597.0,,0,aether-vs-full-send-m1-mirage,Pistol,1.0,0.8986277255752487,Early-Mid
False,No Assist,0.0,a_m_c,7.656119880437114e+16,False,False,7.9373517,8,17,0,False,chest,False,False,0,0,False,72394,sathsea,76561198401647782,usp_silencer,17293822569121710141,16070987597.0,,0,aether-vs-full-send-m1-mirage,Pistol,0.68,0.09037799369582827,Early-Mid
False,No Assist,0.0,a_m_c,7.656119880437114e+16,False,False,8.510116,0,132,0,True,head,False,False,0,0,False,72645,wasteyute,76561199373196281,usp_silencer,17293822569121710141,16070987597.0,,0,aether-vs-full-send-m1-mirage,Pistol,1.0,0.8490302376963647,Early-Mid
